年月,HHI,Gini,Entropy
2016/02,0.09957854000000001,0.47927284027346173,1.4621332865112702
2016/03,0.10416811999999999,0.4850553505535055,1.4609262661479916
2016/04,0.10006728999999999,0.473370319001387,1.4753797400178181
2016/05,0.10200854999999999,0.48196187819618774,1.4578156364250487
2016/06,0.10132377000000004,0.4834560551464828,1.4440706779891739
2016/07,0.10391637999999999,0.48748435544430535,1.435772090693218
2016/08,0.10528925,0.48936669272869426,1.4316148192119036
2016/09,0.10998813000000002,0.4941458881833668,1.4295526211488385
2016/10,0.11251278999999997,0.49628897338403044,1.4463709059765228
2016/11,0.10918915999999998,0.48599151000606416,1.4654554895236283
2016/12,0.10862578,0.4819007263922518,1.4701884706811947
2017/01,0.10834305999999999,0.4799939467312348,1.4729074939217253
2017/02,0.11093011000000001,0.4841184387617766,1.480497312983415
2017/03,0.10949254,0.48741701870850945,1.4710493325916116
2017/04,0.11254735,0.493790117928049,1.4746304642751937
2017/05,0.11614931000000002,0.5048124346136602,1.4571874385441121
2017/06,0.11341536000000002,0.5119999999999999,1.4414885048011132
2017/07,0.11058781999999999,0.5191046658259774,1.392667037228214
2017/08,0.11051095,0.5171617161716171,1.398728294568314
2017/09,0.12173598999999999,0.5160202110268985,1.4473601828088272
2017/10,0.13249919999999998,0.5337421477714628,1.4024496024262147
2017/11,0.12482217000000001,0.5166894664842682,1.4083512612088187
2017/12,0.13051946,0.518321060382916,1.4343111132690214
2018/01,0.13846049000000005,0.5321326299924641,1.3759496172972525
2018/02,0.13679573999999997,0.52801685224195,1.3856411625192246
2018/03,0.13990001999999999,0.5280650784427657,1.4272382322524781
2018/04,0.12687665,0.5104904430285969,1.4418279296409562
2018/05,0.12227477,0.5048066875653082,1.4448081708366012
2018/06,0.11239694,0.4933536585365853,1.4477324137505545
2018/07,0.12535389,0.5229100288271885,1.4065879676742248
2018/08,0.12953458,0.5302919708029197,1.3881338711104965
2018/09,0.13485181999999998,0.5385055739680628,1.383371750862361
2018/10,0.13594205000000004,0.5319638826185102,1.3856093921508839
2018/11,0.13189893000000003,0.5285975888905845,1.3781111957183614
2018/12,0.13502103000000001,0.5305325086740081,1.3860197311356939
2019/01,0.13149912,0.5237057220708446,1.3932753892734617
2019/02,0.13835734,0.5294117647058824,1.3851526477483302
2019/03,0.13913784000000004,0.5304269931322783,1.3903684932825995
2019/04,0.14249266,0.5370029673590504,1.3873477055367642
2019/05,0.13264401999999997,0.5214587100663051,1.3981208256167055
2019/06,0.12728574999999995,0.52088772845953,1.3856869297894356
2019/07,0.13598736,0.5358844077484916,1.3070449087687566
2019/08,0.13706498000000003,0.5424465027147877,1.2939908135215472
2019/09,0.14281876,0.5513824168996583,1.3144492386062978
2019/10,0.14823442,0.5626502213788742,1.2687238723854162
2019/11,0.16062015000000002,0.5683193916349809,1.2900759490965767
2019/12,0.1706556,0.5784787735849057,1.3056125648927206
2020/01,0.17125410000000005,0.5790810157194679,1.265618861588628
2020/02,0.17253921000000003,0.5792367105860974,1.2582837752954332
2020/03,1.6049160100000002,0.6337715154253789,1.655136072397268
2020/04,0.17305733,0.5796388261851015,1.2672442372400177
2020/05,0.16613951000000002,0.5726665654879345,1.2759446552824325
2020/06,1.6007851899999999,0.6307531294890212,1.6773448275885827
2020/07,0.22391162,0.6387449625791595,1.1752810897123733
2020/08,0.23508009000000002,0.6453530001432048,1.1515311756040216
2020/09,0.23829940000000002,0.6458509142053446,1.1718823858128957
2020/10,0.23685564000000003,0.649928997443908,1.1586535955083412
2020/11,0.24405897999999995,0.6503799605966789,1.155925332153718
2020/12,0.24966403,0.6470160515845795,1.1859500134234704
2021/01,0.27700157,0.6726674721439119,1.1428200870169696
2021/02,0.27111569999999996,0.6662621359223301,1.1532984039379965
2021/03,0.25057826,0.6480431848852902,1.2096666545251742
2021/04,0.23952712,0.6409440175631175,1.2134870849165584
2021/05,0.24735837000000002,0.6430450870220639,1.1958726726287807
2021/06,0.23072084,0.6137762047372719,1.263139544917532
2021/07,0.22741688000000002,0.6371119339219595,1.1854945110903476
2021/08,0.23705754000000004,0.6389138998311761,1.1802345307977353
2021/09,0.23059505,0.6102798634812288,1.2607858194436041
2021/10,0.23983603,0.6375469859390227,1.1913062478174143
2021/11,0.23676954,0.6392897091722596,1.1913444780044489
2021/12,0.22946073000000003,0.6270266537771026,1.2362677021279251
2022/01,0.24826067000000002,0.6497152382275316,1.167111494467923
2022/02,0.23370786,0.6447055492638731,1.1738305155921982
2022/03,0.22738304000000004,0.6227578475336324,1.2184037013042939
2022/04,0.21296099,0.6309286033686093,1.1473843189769306
2022/05,0.22392819999999997,0.6355917667238422,1.187495274622612
2022/06,0.20903965000000005,0.6162019162019161,1.2340736490719735
2022/07,0.22633059,0.6531658586748935,1.126393660088622
2022/08,0.2289247,0.6502475968540635,1.1353179684552526
2022/09,0.21198525000000001,0.6278217109992811,1.2137866842242448
2022/10,0.19650204,0.6232815301852959,1.1932134281758955
2022/11,1.0709648499999997,0.6287809303028775,1.656689002740769
2022/12,1.7075046200000004,0.6425554127850948,1.5574488208744943
2023/01,1.1075208600000002,0.6366032064128256,1.5927274053182914
2023/02,1.0816675199999999,0.6306424047451493,1.6404676000004457
2023/03,1.7560801199999998,0.6447278506158125,1.5173882066531668
2023/04,1.0514182100000002,0.6293578448846565,1.6537162131040613
2023/05,1.1027414599999998,0.6323121444965573,1.6236571155917796
2023/06,1.73419982,0.6480736884261113,1.4975068949708354
2023/07,1.1125325499999998,0.6303795584222278,1.6328298085964206
