年月,HHI,Gini,Entropy
2017/03,0.07356362000000001,0.2880702748654011,1.7474603597431941
2017/04,0.07550994999999999,0.29267708773412193,1.7493875139685844
2017/05,0.07518075000000002,0.29305729820158943,1.765935044297992
2017/06,0.07304985000000001,0.2866160551103613,1.7617325240518436
2017/07,0.07110692,0.2928881179531656,1.7243628915135014
2017/08,0.07092101,0.29534210906986846,1.7232225305320603
2017/09,0.07264647,0.2967025089605736,1.7306227491589188
2017/10,0.07896304999999998,0.3160295580503055,1.7182054058328653
2017/11,0.08091253000000001,0.30733415739596204,1.7668549683226853
2017/12,0.08072288999999999,0.3102211842286028,1.7664715787409406
2018/01,0.08573813000000001,0.32162235855487387,1.7595142194510471
2018/02,0.08408603,0.3214295476288097,1.7607842774944522
2018/03,0.08389156,0.3203389830508474,1.7610950683590634
2018/04,0.07932609000000002,0.3018010642652477,1.7832392446731686
2018/05,0.06147441000000001,0.23728838951310854,1.7141963068439507
2018/06,0.0591258,0.21965888689407542,1.7283397220403869
2018/07,0.06250595,0.26086093726148685,1.678189675105706
2018/08,0.06394164999999999,0.2743518944623409,1.6632863807813294
2018/09,0.06755885999999998,0.28717871182340476,1.6696735481662999
2018/10,0.06760036,0.2798206278026907,1.688360949614442
2018/11,0.06941964999999999,0.2689609820254274,1.7179603320157943
2018/12,0.07146973999999999,0.2786643538594971,1.7258798601626166
2019/01,0.06750917,0.2577018906639307,1.7223589236556986
2019/02,0.06940904999999999,0.25926305015353124,1.7184098560285601
2019/03,0.06883908,0.2627750073335289,1.7153829798502804
2019/04,0.06954853000000001,0.27245668591737005,1.6964240022000228
2019/05,0.06116578,0.2659541984732824,1.683083852450828
2019/06,0.05896277,0.2639869382677656,1.6646403432222256
2019/07,0.0614612,0.2811255137527663,1.6276518680970116
2019/08,0.0619998,0.2931493815413891,1.6188500764541842
2019/09,0.06291587,0.2996187450357427,1.6116459225798259
2019/10,0.06424449,0.3182520521487205,1.584152481864455
2019/11,0.07182008000000002,0.32167125803489444,1.6296257777469059
2019/12,0.07437826000000002,0.3333231146535868,1.615609894328053
2020/01,0.07524433,0.32734363052454507,1.6171145703613854
2020/02,0.0763392,0.3256793893129772,1.6159946491846167
2020/03,0.07807089,0.3370303304662744,1.6251433669775257
2020/04,0.07564338000000001,0.33532459615970744,1.6193164542278273
2020/05,0.05874968000000001,0.2897854626961257,1.617342704691129
2020/06,0.059397609999999997,0.3079846079846079,1.6082431459465865
2020/07,0.07575391,0.3767291633842761,1.5556889528141737
2020/08,0.07743454999999999,0.3771214774717402,1.5370325804705416
2020/09,0.07884864999999999,0.3896869537581441,1.530911995653562
2020/10,0.07976493,0.40229321524592754,1.5298160017311917
2020/11,0.08641299,0.40490542826387815,1.5483329070546032
2020/12,0.08879247999999998,0.4087461773700306,1.5481305208759286
2021/01,0.101768,0.45122534369396294,1.5250476165876414
2021/02,0.09828957999999999,0.4382441371016236,1.5315472694175656
2021/03,0.09015985,0.415285562793516,1.5521743999402626
2021/04,0.08938842,0.4139862234201856,1.5686881608608758
2021/05,0.10235555999999998,0.43246445497630337,1.542990397694725
2021/06,0.10077527,0.4331639515767449,1.53496506799076
2021/07,0.09559093999999999,0.42543511450381677,1.5225727281749974
2021/08,0.09998680000000001,0.42891712038717483,1.5220514332197639
2021/09,0.09599231,0.41838090922821314,1.5398050072689358
2021/10,0.09822589999999998,0.4260066606115652,1.526347270073266
2021/11,0.10361904999999998,0.4282043752752901,1.552462903345336
2021/12,0.10089770999999999,0.42991604065399913,1.5525808988499707
2022/01,0.10841880999999999,0.4278409909261126,1.5664232562268585
2022/02,0.1035477,0.4202953097857557,1.5757908304654404
2022/03,0.1008504,0.39111432706222865,1.5963280025568733
2022/04,0.09425605,0.37704416265850443,1.6115135140055405
2022/05,0.10149181,0.39059002349039657,1.6657298431292822
2022/06,0.09056614999999998,0.36241296006821083,1.6682342226280111
2022/07,0.09491217999999998,0.39560439560439564,1.6182481533996567
2022/08,0.10002526999999999,0.3914854818347594,1.6504045279012618
2022/09,0.09258625,0.36443726289166795,1.6795191366161542
2022/10,0.08983352999999998,0.3558688706764829,1.7075253836182833
2022/11,0.09956193999999996,0.38491083676268856,1.6879094168990296
2022/12,0.09727411999999999,0.37675571467915175,1.6923984852193767
2023/01,0.10523319000000002,0.40094897538165314,1.6620836278134299
2023/02,0.10040067999999999,0.3939866369710467,1.6598806187594886
2023/03,0.10358266999999999,0.40855162855162863,1.6515278725440965
2023/04,0.09799485000000001,0.385857600668803,1.6693410232740211
2023/05,0.10756641,0.40744836775483007,1.7013583234112324
2023/06,0.10781529999999999,0.4172789115646259,1.6662209989979861
2023/07,0.10641152999999999,0.4123361707877313,1.6824514591645165
2023/08,0.10850413999999997,0.4208803005904455,1.6832413880004626
2023/09,0.10210814,0.4103645266594125,1.6840165362808956
2023/10,0.10551156,0.4210753850310727,1.6782831216795422
2023/11,0.10609099000000002,0.4255587159691182,1.670274255662655
2023/12,0.10595577999999997,0.43340623291416075,1.6521657580875275
2024/01,0.11787607000000003,0.4514565713518593,1.6393995027149089
2024/02,0.12368146,0.4654869611495477,1.6282503726458644
2024/03,0.13401911,0.4918302806693899,1.60447734704515
2024/04,0.13477640999999999,0.4876285905143621,1.5877980534597629
2024/05,0.11951285,0.4683748169838945,1.6356860724399747
2024/06,0.13086303999999999,0.49823218997361474,1.604504242659313
2024/07,0.12842486000000003,0.49403815580286164,1.6096073902020487
2024/08,0.1305369,0.4855578727841502,1.6335809825681329
2024/09,0.13560476999999996,0.495334974731113,1.6259597646858353
