00701 國泰股利精選30--201502-202502,,,,,,,,
,,,,,,,,
年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2024/11,2890,永豐金,"9,889",4.84,"229,919",0.08,1.087,TW0002890001
2024/11,2891,中信金,"14,191",11.18,"530,743",0.07,4.1783,TW0002891009
2024/11,2892,第一金,"9,132",5.23,"248,383",0.07,0.1844,TW0002892007
2024/11,3045,台灣大,"1,885",4.49,"213,005",0.05,-0.4404,TW0003045001
2024/11,5880,合庫金,"8,809",4.62,"219,337",0.06,-1.1904,TW0005880009
2024/11,M1200,食品工業,,6.83,"324,142",,-3.6738,
2024/11,M2300,電子工業,,14.98,"711,401",,-2.7378,
2024/11,M2800,金融業(合計),,45.46,"2,159,184",,-0.3813,
2024/11,MTSE,國內上市,,67.27,"3,194,727",,-2.4448,
2024/11,TT99,基金總規模,,,"4,749,192",,,
2024/10,1216,統一,"3,873",7.25,"347,408",0.07,2.867,TW0001216000
2024/10,2002,中鋼,"9,703",4.56,"218,318",0.06,-2.808,TW0002002003
2024/10,2412,中華電,"4,091",10.41,"499,102",0.05,-2.7889,TW0002412004
2024/10,2884,玉山金,"12,719",7.27,"348,507",0.08,-2.3173,TW0002884004
2024/10,2886,兆豐金,"9,508",7.8,"373,663",0.06,0.0001,TW0002886009
2024/10,2890,永豐金,"9,985",4.79,"229,655",0.08,-5.1545,TW0002890001
2024/10,2891,中信金,"14,328",10.73,"514,375",0.07,4.3603,TW0002891009
2024/10,2892,第一金,"9,221",5.22,"250,342",0.07,-0.9123,TW0002892007
2024/10,3045,台灣大,"1,901",4.5,"215,764",0.05,-1.3045,TW0003045001
2024/10,5880,合庫金,"8,895",4.68,"224,147",0.06,-2.7027,TW0005880009
2024/10,M1200,食品工業,,7.25,"347,408",,-0.3716,
2024/10,M2000,鋼鐵工業,,4.56,"218,318",,-5.2297,
2024/10,M2300,電子工業,,14.92,"714,866",,5.4933,
2024/10,M2800,金融業(合計),,40.5,"1,940,690",,-0.1234,
2024/10,MTSE,國內上市,,67.22,"3,221,281",,2.6812,
2024/10,TT99,基金總規模,,,"4,792,237",,,
2024/09,1101,台泥,"4,095",2.84,"138,427",0.05,2.5797,TW0001101004
2024/09,1102,亞泥,"1,582",1.55,"75,550",0.04,5.8758,TW0001102002
2024/09,1216,統一,"2,968",5.31,"258,820",0.05,5.5689,TW0001216000
2024/09,1301,台塑,"3,280",3.6,"175,471",0.05,3.6822,TW0001301000
2024/09,1402,遠東新,"2,361",1.86,"90,660",0.04,5.9311,TW0001402006
2024/09,2002,中鋼,"7,538",3.58,"174,497",0.05,4.0449,TW0002002003
2024/09,2412,中華電,"3,134",8.07,"393,348",0.04,1.2098,TW0002412004
2024/09,2474,可成,367,1.78,"86,761",0.05,0.2119,TW0002474004
2024/09,2801,彰銀,"5,228",1.92,"93,585",0.05,1.4163,TW0002801008
2024/09,2812,台中銀,"2,570",0.97,"47,280",0.05,1.9391,TW0002812005
2024/09,2834,臺企銀,"4,278",1.4,"68,239",0.05,0.9493,TW0002834009
2024/09,2880,華南金,"6,429",3.39,"165,236",0.05,0.7843,TW0002880002
2024/09,2881,富邦金,"6,114",11.34,"552,735",0.04,3.2861,TW0002881000
2024/09,2882,國泰金,"6,018",8.21,"400,172",0.04,4.7244,TW0002882008
2024/09,2884,玉山金,"9,731",5.6,"272,956",0.06,-0.532,TW0002884004
2024/09,2885,元大金,"7,642",4.97,"242,248",0.06,-0.627,TW0002885001
2024/09,2886,兆豐金,"7,107",5.73,"279,292",0.05,0.8987,TW0002886009
2024/09,2887,台新金,"7,656",2.89,"140,865",0.06,-0.5406,TW0002887007
2024/09,2890,永豐金,"7,638",3.8,"185,220",0.06,1.0419,TW0002890001
2024/09,2891,中信金,"11,930",8.42,"410,408",0.06,5.3599,TW0002891009
2024/09,2892,第一金,"7,062",3.97,"193,506",0.05,0.5507,TW0002892007
2024/09,3033,威健,226,0.16,"7,799",0.05,-0.5755,TW0003033007
2024/09,3090,日電貿,102,0.13,"6,336",0.05,-0.9585,TW0003090007
2024/09,3413,京鼎,51,0.37,"18,035",0.05,1.5669,TW0003413001
2024/09,3702,大聯大,949,1.46,"71,163",0.06,-7.6354,TW0003702007
2024/09,5880,合庫金,"6,813",3.62,"176,446",0.04,0,TW0005880009
2024/09,6202,盛群,127,0.14,"6,824",0.06,8.0159,TW0006202005
2024/09,8150,南茂,390,0.3,"14,623",0.05,-1.7038,TW0008150004
2024/09,9904,寶成,"1,685",1.25,"60,928",0.06,4.0291,TW0009904003
2024/09,9939,宏全,167,0.56,"27,296",0.06,1.2422,TW0009939009
2024/09,M1100,水泥工業,,4.39,"213,978",,3.2959,
2024/09,M1200,食品工業,,5.31,"258,820",,2.2853,
2024/09,M1300,塑膠工業,,3.6,"175,471",,1.7242,
2024/09,M1400,紡織纖維,,1.86,"90,660",,0.6657,
2024/09,M2000,鋼鐵工業,,3.58,"174,497",,1.8706,
2024/09,M2300,電子工業,,12.41,"604,889",,-0.7938,
2024/09,M2800,金融業(合計),,66.23,"3,228,186",,1.4469,
2024/09,M3700,運動休閒,,1.25,"60,928",,2.7133,
2024/09,M9900,其他,,0.56,"27,296",,1.0401,
2024/09,MTSE,國內上市,,99.19,"4,834,725",,-0.1954,
2024/09,TT99,基金總規模,,,"4,874,206",,,
2024/08,1216,統一,"3,021",5.04,"249,535",0.05,2.1471,TW0001216000
2024/08,2412,中華電,"3,192",8,"395,808",0.04,2.0578,TW0002412004
2024/08,2881,富邦金,"5,932",11.02,"545,151",0.05,4.1951,TW0002881000
2024/08,2882,國泰金,"6,129",7.87,"389,192",0.04,1.7626,TW0002882008
2024/08,2884,玉山金,"9,912",5.65,"279,525",0.06,6.2147,TW0002884004
2024/08,2885,元大金,"7,784",5.02,"248,298",0.06,-0.7987,TW0002885001
2024/08,2886,兆豐金,"7,238",5.7,"281,919",0.05,-3.5832,TW0002886009
2024/08,2890,永豐金,"7,790",3.78,"186,960",0.06,-4.7627,TW0002890001
2024/08,2891,中信金,"12,149",8.02,"396,665",0.06,-8.0283,TW0002891009
2024/08,2892,第一金,"7,194",3.96,"196,029",0.05,-1.3804,TW0002892007
2024/08,M1200,食品工業,,5.04,"249,535",,-0.5668,
2024/08,M2300,電子工業,,8,"395,808",,1.1137,
2024/08,M2800,金融業(合計),,51.02,"2,523,737",,-1.1415,
2024/08,MTSE,國內上市,,64.06,"3,169,080",,0.3097,
2024/08,TT99,基金總規模,,,"4,946,846",,,
2024/07,1216,統一,"3,137",5.06,"263,194",0.06,3.1979,TW0001216000
2024/07,2412,中華電,"3,315",7.74,"402,773",0.04,0.6999,TW0002412004
2024/07,2881,富邦金,"6,160",10.44,"543,312",0.05,14.4526,TW0002881000
2024/07,2882,國泰金,"6,365",7.63,"397,176",0.04,9.4035,TW0002882008
2024/07,2884,玉山金,"10,294",5.25,"273,312",0.06,-1.0091,TW0002884004
2024/07,2885,元大金,"7,925",4.99,"259,945",0.06,2.3404,TW0002885001
2024/07,2886,兆豐金,"7,297",6.06,"315,249",0.05,6.9308,TW0002886009
2024/07,2890,永豐金,"7,892",4.03,"209,927",0.06,4.7245,TW0002890001
2024/07,2891,中信金,"12,617",8.61,"447,904",0.06,-1.7243,TW0002891009
2024/07,2892,第一金,"7,253",4.09,"212,861",0.05,4.4482,TW0002892007
2024/07,M1200,食品工業,,5.06,"263,194",,2.3292,
2024/07,M2300,電子工業,,7.74,"402,773",,-5.3369,
2024/07,M2800,金融業(合計),,51.1,"2,659,686",,3.2236,
2024/07,MTSE,國內上市,,63.9,"3,325,652",,-3.6162,
2024/07,TT99,基金總規模,,,"5,204,638",,,
2024/06,1101,台泥,"4,425",2.93,"151,326",0.06,3.6362,TW0001101004
2024/06,1102,亞泥,"1,720",1.46,"75,405",0.05,5.5354,TW0001102002
2024/06,1216,統一,"3,208",5.05,"260,819",0.06,1.625,TW0001216000
2024/06,1301,台塑,"3,548",3.95,"204,007",0.06,-11.9449,TW0001301000
2024/06,1402,遠東新,"2,549",1.74,"89,866",0.05,4.29,TW0001402006
2024/06,2002,中鋼,"8,138",3.64,"187,996",0.05,-2.7368,TW0002002003
2024/06,2412,中華電,"3,387",8.23,"425,057",0.04,-1.953,TW0002412004
2024/06,2474,可成,396,1.78,"91,932",0.06,3.3407,TW0002474004
2024/06,2801,彰銀,"5,459",1.95,"100,712",0.05,1.3735,TW0002801008
2024/06,2812,台中銀,"2,625",0.93,"48,032",0.05,-2.139,TW0002812005
2024/06,2834,臺企銀,"4,143",1.46,"75,405",0.05,7.6922,TW0002834009
2024/06,2880,華南金,"6,867",3.51,"181,282",0.05,5.6,TW0002880002
2024/06,2881,富邦金,"6,291",9.66,"498,912",0.05,8.0382,TW0002881000
2024/06,2882,國泰金,"6,504",7.43,"383,739",0.04,4.9822,TW0002882008
2024/06,2884,玉山金,"10,311",5.7,"294,389",0.07,-0.1749,TW0002884004
2024/06,2885,元大金,"8,090",5.02,"259,269",0.06,4.7724,TW0002885001
2024/06,2886,兆豐金,"7,453",5.83,"301,103",0.05,3.4572,TW0002886009
2024/06,2887,台新金,"7,973",2.91,"150,293",0.06,2.4456,TW0002887007
2024/06,2890,永豐金,"8,072",3.97,"205,040",0.07,10.1951,TW0002890001
2024/06,2891,中信金,"12,895",9.45,"488,066",0.07,6.9211,TW0002891009
2024/06,2892,第一金,"7,407",4.03,"208,138",0.05,2.1817,TW0002892007
2024/06,3033,威健,253,0.18,"9,297",0.06,-5.8898,TW0003033007
2024/06,3090,日電貿,114,0.14,"7,231",0.05,-1.8902,TW0003090007
2024/06,3413,京鼎,54,0.32,"16,527",0.05,8.6034,TW0003413001
2024/06,3702,大聯大,"1,024",1.78,"91,932",0.06,4.1765,TW0003702007
2024/06,5880,合庫金,"7,111",3.58,"184,897",0.05,1.7614,TW0005880009
2024/06,6202,盛群,138,0.16,"8,264",0.06,-1.3158,TW0006202005
2024/06,8150,南茂,421,0.35,"18,077",0.06,1.1455,TW0008150004
2024/06,9904,寶成,"1,815",1.23,"63,526",0.06,-3.609,TW0009904003
2024/06,9939,宏全,178,0.59,"30,472",0.06,5.2149,TW0009939009
2024/06,M1100,水泥工業,,4.39,"226,731",,3.9127,
2024/06,M1200,食品工業,,5.05,"260,819",,1.6986,
2024/06,M1300,塑膠工業,,3.95,"204,007",,-7.3895,
2024/06,M1400,紡織纖維,,1.74,"89,866",,3.8768,
2024/06,M2000,鋼鐵工業,,3.64,"187,996",,-1.8163,
2024/06,M2300,電子工業,,12.94,"668,315",,12.1206,
2024/06,M2800,金融業(合計),,65.43,"3,379,279",,4.3641,
2024/06,M3700,運動休閒,,1.23,"63,526",,-2.3639,
2024/06,M9900,其他,,0.59,"30,472",,1.3954,
2024/06,MTSE,國內上市,,98.96,"5,111,011",,8.7752,
2024/06,TT99,基金總規模,,,"5,164,724",,,
2024/05,1216,統一,"3,390",5.1,"271,200",0.06,4.5752,TW0001216000
2024/05,1301,台塑,"3,753",4.61,"245,071",0.06,-4.6713,TW0001301000
2024/05,2412,中華電,"3,582",8.62,"458,496",0.05,3.2257,TW0002412004
2024/05,2881,富邦金,"6,657",9.19,"488,624",0.05,6.2229,TW0002881000
2024/05,2882,國泰金,"6,878",7.27,"386,544",0.05,11.287,TW0002882008
2024/05,2884,玉山金,"10,905",5.87,"311,891",0.07,4.3795,TW0002884004
2024/05,2885,元大金,"8,564",5.1,"271,055",0.07,3.2627,TW0002885001
2024/05,2886,兆豐金,"7,885",5.79,"307,926",0.05,-2.3751,TW0002886009
2024/05,2891,中信金,"13,634",9.08,"482,644",0.07,3.8124,TW0002891009
2024/05,2892,第一金,"7,838",4.05,"215,532",0.06,0.5483,TW0002892007
2024/05,M1200,食品工業,,5.1,"271,200",,4.1875,
2024/05,M1300,塑膠工業,,4.61,"245,071",,-4.7827,
2024/05,M2300,電子工業,,8.62,"458,496",,4.9547,
2024/05,M2800,金融業(合計),,46.34,"2,464,215",,3.7046,
2024/05,MTSE,國內上市,,64.68,"3,438,981",,3.8128,
2024/05,TT99,基金總規模,,,"5,317,259",,,
2024/04,1216,統一,"3,630",5.01,"277,695",0.06,-1.29,TW0001216000
2024/04,1301,台塑,"4,018",4.96,"275,233",0.06,-0.5805,TW0001301000
2024/04,2412,中華電,"3,835",8.57,"475,540",0.05,-1.5874,TW0002412004
2024/04,2881,富邦金,"7,127",8.88,"492,476",0.05,-0.8611,TW0002881000
2024/04,2882,國泰金,"7,364",6.71,"371,882",0.05,3.8024,TW0002882008
2024/04,2884,玉山金,"11,675",5.77,"319,902",0.07,0.5503,TW0002884004
2024/04,2885,元大金,"9,168",5.07,"281,004",0.07,0.8225,TW0002885001
2024/04,2886,兆豐金,"8,442",6.09,"337,697",0.06,-1.3566,TW0002886009
2024/04,2891,中信金,"14,597",8.98,"497,758",0.07,3.177,TW0002891009
2024/04,2892,第一金,"8,391",4.14,"229,481",0.06,-1.2635,TW0002892007
2024/04,M1200,食品工業,,5.01,"277,695",,-0.9252,
2024/04,M1300,塑膠工業,,4.96,"275,233",,1.1105,
2024/04,M2300,電子工業,,8.57,"475,540",,-0.9679,
2024/04,M2800,金融業(合計),,45.62,"2,530,199",,1.279,
2024/04,MTSE,國內上市,,64.17,"3,558,667",,0.5034,
2024/04,TT99,基金總規模,,,"5,545,828",,,
2024/03,1101,台泥,"5,436",2.91,"174,766",0.07,0.1555,TW0001101004
2024/03,1102,亞泥,"2,109",1.45,"87,083",0.06,2.1014,TW0001102002
2024/03,1216,統一,"3,944",5.09,"305,690",0.07,1.0431,TW0001216000
2024/03,1301,台塑,"4,367",5.01,"300,885",0.07,-3.9052,TW0001301000
2024/03,1402,遠東新,"3,143",1.74,"104,499",0.06,1.994,TW0001402006
2024/03,2002,中鋼,"10,026",3.99,"239,627",0.06,-2.8455,TW0002002003
2024/03,2412,中華電,"4,171",8.75,"525,498",0.05,4.5643,TW0002412004
2024/03,2474,可成,488,1.78,"106,901",0.07,11.1676,TW0002474004
2024/03,2801,彰銀,"6,728",2.05,"123,117",0.06,2.809,TW0002801008
2024/03,2812,台中銀,"3,231",0.92,"55,252",0.06,2.7027,TW0002812005
2024/03,2834,臺企銀,"5,095",1.37,"82,278",0.06,15.3573,TW0002834009
2024/03,2880,華南金,"8,457",3.26,"195,786",0.06,5.2272,TW0002880002
2024/03,2881,富邦金,"7,746",8.99,"539,912",0.06,2.5,TW0002881000
2024/03,2882,國泰金,"7,999",6.48,"389,169",0.05,7.9909,TW0002882008
2024/03,2884,玉山金,"12,695",5.76,"345,928",0.08,7.9209,TW0002884004
2024/03,2885,元大金,"9,957",5.04,"302,687",0.08,10.7469,TW0002885001
2024/03,2886,兆豐金,"9,183",6.2,"372,353",0.06,4.7803,TW0002886009
2024/03,2887,台新金,"9,809",2.94,"176,567",0.08,3.4483,TW0002887007
2024/03,2890,永豐金,"9,931",3.58,"215,004",0.08,7.7114,TW0002890001
2024/03,2891,中信金,"15,864",8.73,"524,297",0.08,12.415,TW0002891009
2024/03,2892,第一金,"9,128",4.21,"252,840",0.07,2.2142,TW0002892007
2024/03,3033,威健,304,0.16,"9,609",0.07,-4.8122,TW0003033007
2024/03,3090,日電貿,141,0.14,"8,408",0.07,-5.2381,TW0003090007
2024/03,3413,京鼎,67,0.33,"19,819",0.07,23.7503,TW0003413001
2024/03,3702,大聯大,"1,265",2.02,"121,315",0.08,3.3406,TW0003702007
2024/03,5880,合庫金,"8,756",3.82,"229,417",0.06,0.9634,TW0005880009
2024/03,6202,盛群,167,0.15,"9,009",0.07,-10.1668,TW0006202005
2024/03,8150,南茂,529,0.44,"26,425",0.07,13.3785,TW0008150004
2024/03,9904,寶成,"2,243",1.35,"81,077",0.08,18.5246,TW0009904003
2024/03,9939,宏全,221,0.53,"31,830",0.08,-1.031,TW0009939009
2024/03,M1100,水泥工業,,4.36,"261,848",,1.1053,
2024/03,M1200,食品工業,,5.09,"305,690",,1.8505,
2024/03,M1300,塑膠工業,,5.01,"300,885",,-4.6368,
2024/03,M1400,紡織纖維,,1.74,"104,499",,0.526,
2024/03,M2000,鋼鐵工業,,3.99,"239,627",,-1.7578,
2024/03,M2300,電子工業,,13.77,"826,984",,9.2822,
2024/03,M2800,金融業(合計),,63.35,"3,804,606",,6.3452,
2024/03,M3700,運動休閒,,1.35,"81,077",,3.8273,
2024/03,M9900,其他,,0.53,"31,830",,-1.1667,
2024/03,MTSE,國內上市,,99.19,"5,957,046",,6.9999,
2024/03,TT99,基金總規模,,,"6,005,692",,,
2024/02,1216,統一,"4,319",5.27,"331,267",0.08,5.9392,TW0001216000
2024/02,1301,台塑,"4,781",5.45,"342,798",0.08,-0.5549,TW0001301000
2024/02,2412,中華電,"4,563",8.75,"549,842",0.06,1.2604,TW0002412004
2024/02,2881,富邦金,"8,480",9.17,"576,640",0.07,5.4263,TW0002881000
2024/02,2882,國泰金,"8,762",6.28,"394,728",0.06,2.0385,TW0002882008
2024/02,2884,玉山金,"13,892",5.58,"350,780",0.09,2.0202,TW0002884004
2024/02,2885,元大金,"10,909",4.76,"299,456",0.09,1.4789,TW0002885001
2024/02,2886,兆豐金,"10,045",6.18,"388,758",0.07,2.7889,TW0002886009
2024/02,2891,中信金,"17,369",8.12,"510,649",0.09,3.3392,TW0002891009
2024/02,2892,第一金,"9,984",4.3,"270,553",0.07,1.8796,TW0002892007
2024/02,M1200,食品工業,,5.27,"331,267",,3.7381,
2024/02,M1300,塑膠工業,,5.45,"342,798",,-0.668,
2024/02,M2300,電子工業,,8.75,"549,842",,7.261,
2024/02,M2800,金融業(合計),,44.4,"2,791,564",,2.8429,
2024/02,MTSE,國內上市,,63.87,"4,015,470",,6.0213,
2024/02,TT99,基金總規模,,,"6,286,679",,,
2024/01,1216,統一,"4,371",5.1,"316,460",0.08,-2.8187,TW0001216000
2024/01,1301,台塑,"4,839",5.62,"348,892",0.08,-8.9647,TW0001301000
2024/01,2002,中鋼,"11,096",4.49,"279,064",0.07,-6.8518,TW0002002003
2024/01,2412,中華電,"4,618",8.85,"549,542",0.06,-0.8332,TW0002412004
2024/01,2881,富邦金,"8,582",8.91,"553,539",0.07,-0.4629,TW0002881000
2024/01,2882,國泰金,"8,867",6.3,"391,478",0.06,-3.4972,TW0002882008
2024/01,2884,玉山金,"14,059",5.6,"347,967",0.09,-4.07,TW0002884004
2024/01,2885,元大金,"11,040",4.81,"298,636",0.09,-1.9927,TW0002885001
2024/01,2886,兆豐金,"10,166",6.16,"382,766",0.07,-3.9541,TW0002886009
2024/01,2891,中信金,"17,577",8.05,"500,066",0.09,0.3527,TW0002891009
2024/01,M1200,食品工業,,5.1,"316,460",,-2.3312,
2024/01,M1300,塑膠工業,,5.62,"348,892",,-8.2167,
2024/01,M2000,鋼鐵工業,,4.49,"279,064",,-3.8123,
2024/01,M2300,電子工業,,8.85,"549,542",,1.6066,
2024/01,M2800,金融業(合計),,39.84,"2,474,452",,-2.7609,
2024/01,MTSE,國內上市,,63.89,"3,968,410",,-0.2299,
2024/01,TT99,基金總規模,,,"6,211,016",,,
2023/12,1101,台泥,"6,249",3.29,"217,772",0.08,-0.2859,TW0001101004
2023/12,1102,亞泥,"2,427",1.52,"100,612",0.07,-0.5996,TW0001102002
2023/12,1216,統一,"4,531",5.1,"337,579",0.08,2.0548,TW0001216000
2023/12,1301,台塑,"5,015",6,"397,152",0.08,-1.9801,TW0001301000
2023/12,1402,遠東新,"3,607",1.7,"112,526",0.07,1.9608,TW0001402006
2023/12,2002,中鋼,"11,498",4.69,"310,441",0.07,3.0531,TW0002002003
2023/12,2412,中華電,"4,782",8.67,"573,885",0.06,0.4184,TW0002412004
2023/12,2474,可成,560,1.64,"108,555",0.08,2.4607,TW0002474004
2023/12,2801,彰銀,"7,729",2.09,"138,341",0.07,0.5619,TW0002801008
2023/12,2812,台中銀,"3,705",0.89,"58,911",0.07,0.6329,TW0002812005
2023/12,2834,臺企銀,"5,846",1.21,"80,092",0.07,1.4816,TW0002834009
2023/12,2880,華南金,"9,714",3.28,"217,110",0.07,0.4494,TW0002880002
2023/12,2881,富邦金,"8,887",8.7,"575,871",0.07,0.6211,TW0002881000
2023/12,2882,國泰金,"9,187",6.35,"420,319",0.06,-1.6128,TW0002882008
2023/12,2884,玉山金,"14,573",5.68,"375,971",0.09,0.7811,TW0002884004
2023/12,2885,元大金,"11,440",4.77,"315,736",0.09,6.1539,TW0002885001
2023/12,2886,兆豐金,"10,537",6.24,"413,038",0.07,-0.4469,TW0002886009
2023/12,2887,台新金,"11,227",3.07,"203,210",0.09,-1.0928,TW0002887007
2023/12,2890,永豐金,"11,390",3.39,"224,391",0.09,4.2329,TW0002890001
2023/12,2891,中信金,"18,212",7.8,"516,298",0.09,3.6563,TW0002891009
2023/12,2892,第一金,"10,460",4.33,"286,611",0.08,-1.0831,TW0002892007
2023/12,3033,威健,344,0.15,"9,929",0.08,0.8721,TW0003033007
2023/12,3090,日電貿,159,0.14,"9,267",0.08,-2.8428,TW0003090007
2023/12,3413,京鼎,75,0.24,"15,886",0.08,6.5825,TW0003413001
2023/12,3702,大聯大,"1,452",1.79,"118,484",0.09,5.1547,TW0003702007
2023/12,5880,合庫金,"10,040",4.05,"268,078",0.07,-0.9276,TW0005880009
